,name,address,phone_number,location_latitude,location_longitude,is_closed,city,zip_code,category,FEMA_category,zip_code_latitude,zip_code_longitude,2010_zip_code_census_population
0,Enmark,"['2424 Clark Ave', 'Albany, GA 31705']",(229) 483-0137,31.57965,-84.09113,False,Albany,31705,Convenience Stores,"(4) Energy (power, fuel)",31.552483000000002,-84.09678,35565
1,Pilot Travel Center,"['310 Cordele Rd', 'Albany, GA 31705']",(229) 878-1355,31.580555376423604,-84.086109995842,False,Albany,31705,Gas Stations,"(4) Energy (power, fuel)",31.552483000000002,-84.09678,35565
2,JC's Wingz & Concessions,"['2221 E Broad Ave', 'Albany, GA 31705']",(229) 496-2290,31.574912717102798,-84.0967382490635,False,Albany,31705,Chicken Wings,"(2) Food, water, sheltering",31.552483000000002,-84.09678,35565
3,Enmark,"['2424 Clark Ave', 'Albany, GA 31705']",(229) 483-0137,31.57965,-84.09113,False,Albany,31705,Convenience Stores,"(2) Food, water, sheltering",31.552483000000002,-84.09678,35565
4,Pilot Travel Center,"['310 Cordele Rd', 'Albany, GA 31705']",(229) 878-1355,31.580555376423604,-84.086109995842,False,Albany,31705,Gas Stations,"(2) Food, water, sheltering",31.552483000000002,-84.09678,35565
5,Flint River Outpost,"['11151 Old Georgia Highway 3', 'Albany, GA 31705']",(229) 787-3004,31.578507399999996,-84.155741,False,Albany,31705,Rafting/Kayaking,"(2) Food, water, sheltering",31.552483000000002,-84.09678,35565
6,A J's Dixie Food Store,"['1400 E Broad Ave', 'Albany, GA 31705']",(229) 883-1266,31.57627,-84.11921,False,Albany,31705,Convenience Stores,"(2) Food, water, sheltering",31.552483000000002,-84.09678,35565
7,"Econo Lodge Inn, & Suites","['1806 E Oglethorpe Blvd', 'Albany, GA 31705']",(229) 883-5544,31.570328000000003,-84.102873,False,Albany,31705,Hotels,"(2) Food, water, sheltering",31.552483000000002,-84.09678,35565
8,Relax Inn,"['306 Tallulah Dr', 'Albany, GA 31705']",(229) 446-0010,31.570179,-84.100976,False,Albany,31705,Hotels,"(2) Food, water, sheltering",31.552483000000002,-84.09678,35565
9,Albany Rv Resort,"['1202 Liberty Expy SE', 'Albany, GA 31705']",(229) 431-2229,31.5204696655273,-84.113655090332,False,Albany,31705,Hotels,"(2) Food, water, sheltering",31.552483000000002,-84.09678,35565
10,Pic N Sav,"['2203 E Oglethorpe Blvd', 'Albany, GA 31705']",(229) 432-7859,31.57415,-84.09844,False,Albany,31705,Convenience Stores,"(2) Food, water, sheltering",31.552483000000002,-84.09678,35565
11,Regency Inn,"['911 E Oglethorpe Blvd', 'Albany, GA 31705']",(229) 883-1650,31.573806762695302,-84.12876892089841,False,Albany,31705,Hotels,"(2) Food, water, sheltering",31.552483000000002,-84.09678,35565
12,Motel 6,"['201 Thornton Dr', 'Albany, GA 31705']",(229) 439-1153,31.5717830657959,-84.10829162597659,False,Albany,31705,Hotels,"(2) Food, water, sheltering",31.552483000000002,-84.09678,35565
13,Deb's Curbside Cupcakes,"['Albany, GA 31705']",(229) 789-4929,31.530671999999996,-84.009225,False,Albany,31705,Cupcakes,"(2) Food, water, sheltering",31.552483000000002,-84.09678,35565
14,Deep South Motel,"['2230 E Oglethorpe Blvd', 'Albany, GA 31705']",(229) 435-5607,31.573335647582997,-84.096565246582,False,Albany,31705,Hotels,"(2) Food, water, sheltering",31.552483000000002,-84.09678,35565
