,name,address,phone_number,location_latitude,location_longitude,is_closed,city,zip_code,category,FEMA_category,zip_code_latitude,zip_code_longitude,2010_zip_code_census_population
0,Enmark,"['2424 Clark Ave', 'Albany, GA 31705']",(229) 483-0137,31.57965,-84.09113,FALSE,Albany,31705,Convenience Stores,"(4) Energy (power, fuel)",31.552483,-84.09678,35565
1,Pilot Travel Center,"['310 Cordele Rd', 'Albany, GA 31705']",(229) 878-1355,31.58055538,-84.08611,FALSE,Albany,31705,Gas Stations,"(4) Energy (power, fuel)",31.552483,-84.09678,35565
2,JC's Wingz & Concessions,"['2221 E Broad Ave', 'Albany, GA 31705']",(229) 496-2290,31.57491272,-84.09673825,FALSE,Albany,31705,Chicken Wings,"(2) Food, water, sheltering",31.552483,-84.09678,35565
3,Enmark,"['2424 Clark Ave', 'Albany, GA 31705']",(229) 483-0137,31.57965,-84.09113,FALSE,Albany,31705,Convenience Stores,"(2) Food, water, sheltering",31.552483,-84.09678,35565
4,Pilot Travel Center,"['310 Cordele Rd', 'Albany, GA 31705']",(229) 878-1355,31.58055538,-84.08611,FALSE,Albany,31705,Gas Stations,"(2) Food, water, sheltering",31.552483,-84.09678,35565
5,Flint River Outpost,"['11151 Old Georgia Highway 3', 'Albany, GA 31705']",(229) 787-3004,31.5785074,-84.155741,FALSE,Albany,31705,Rafting/Kayaking,"(2) Food, water, sheltering",31.552483,-84.09678,35565
6,A J's Dixie Food Store,"['1400 E Broad Ave', 'Albany, GA 31705']",(229) 883-1266,31.57627,-84.11921,FALSE,Albany,31705,Convenience Stores,"(2) Food, water, sheltering",31.552483,-84.09678,35565
7,"Econo Lodge Inn, & Suites","['1806 E Oglethorpe Blvd', 'Albany, GA 31705']",(229) 883-5544,31.570328,-84.102873,FALSE,Albany,31705,Hotels,"(2) Food, water, sheltering",31.552483,-84.09678,35565
8,Relax Inn,"['306 Tallulah Dr', 'Albany, GA 31705']",(229) 446-0010,31.570179,-84.100976,FALSE,Albany,31705,Hotels,"(2) Food, water, sheltering",31.552483,-84.09678,35565
9,Albany Rv Resort,"['1202 Liberty Expy SE', 'Albany, GA 31705']",(229) 431-2229,31.52046967,-84.11365509,FALSE,Albany,31705,Hotels,"(2) Food, water, sheltering",31.552483,-84.09678,35565
