City,2010 Census Population
Abbeville,4816
Acworth,91843
Adairsville,14781
Adel,10690
Adrian,2910
Ailey,2168
Alamo,4371
Alapaha,2178
Albany,101511
Allenhurst,4591
Allentown,112
Alma,9848
Alpharetta,165556
Alston,80
Alto,8291
Ambrose,2248
Americus,26996
Andersonville,867
Appling,6321
Arabi,1263
Aragon,4708
Argyle,120
Armuchee,2294
Arnoldsville,1440
Ashburn,6474
Athens,116272
Atlanta,900273
Auburn,14402
Augusta,202193
Austell,44541
Avera,741
Avondale Estates,5861
Axson,1273
Baconton,2896
Baldwin,3186
Ball Ground,12908
Barnesville,13493
Barney,1171
Bartow,1575
Barwick,455
Baxley,16084
Berlin,494
Bethlehem,12486
Bishop,5109
Blackshear,14735
Blairsville,19490
Bloomingdale,7853
Blue Ridge,11172
Blythe,2734
Bogart,10344
Bonaire,15102
Boston,3463
Bostwick,154
Bowdon,7256
Bowersville,2054
Bowman,2611
Box Springs,3008
Braselton,11963
Bremen,13349
Bristol,704
Brooklet,6780
Brooks,3061
Broxton,3569
Brunswick,63812
Buchanan,6218
Buckhead,2438
Buena Vista,5662
Buford,85023
Butler,4923
Byromville,1117
Byron,18453
Cadwell,1477
Calhoun,40053
Camak,92
Camilla,9682
Canon,4426
Canton,85446
Carlton,2273
Carnesville,4944
Carrollton,59825
Cartersville,60163
Cataula,5934
Cave Spring,2978
Cecil,239
Cedartown,24352
Centerville,5912
Chatsworth,33566
Chauncey,923
Cherrylog,1092
Chester,2683
Chickamauga,16483
Chula,1580
Cisco,293
Clarkesville,12904
Clarkston,21989
Claxton,11090
Clayton,7364
Clermont,4043
Cleveland,22679
Clyo,1999
Cobb,817
Cobbtown,1460
Cochran,13756
Cohutta,6661
Colbert,6556
Collins,3381
Columbus,173903
Comer,4531
Commerce,17672
Concord,2958
Conley,8929
Conyers,83685
Coolidge,2102
Cordele,21938
Cornelia,11279
Covington,86177
Crandall,3569
Crawford,2438
Crawfordville,1767
Crescent,132
Culloden,1517
Cumming,129584
Cusseta,3191
Dacula,40447
Dahlonega,25296
Daisy,120
Dallas,79338
Dalton,80496
Danielsville,8474
Danville,1985
Darien,5989
Davisboro,2837
Dawsonville,26685
De Soto,630
Dearing,4615
Decatur,167967
Demorest,7042
Denton,727
Dewy Rose,2281
Dexter,2318
Dillard,1249
Dixie,902
Doerun,3202
Douglas,28758
Douglasville,105268
Dry Branch,2541
Du Pont,419
Dublin,38561
Dudley,1424
Duluth,103980
Eastanollee,2854
Eastman,15383
Eatonton,20039
Eden,998
Elberton,16109
Elko,1226
Ellabell,7305
Ellaville,4962
Ellenton,281
Ellenwood,39865
Ellerslie,2483
Ellijay,17297
Emerson,1650
Enigma,2783
Epworth,1603
Evans,38168
Fairburn,29384
Fairmount,3845
Fargo,559
Fayetteville,62578
Fitzgerald,18687
Fleming,1210
Flintstone,4647
Flovilla,2159
Flowery Branch,31946
Folkston,10097
Forest Park,27188
Forsyth,16287
Fort Benning,16044
Fort Oglethorpe,7460
Fort Stewart,9419
Fort Valley,18977
Fortson,6679
Franklin,9433
Gainesville,120577
Garfield,1198
Gay,1974
Geneva,225
Gibson,2138
Gillsville,4487
Girard,1100
Glennville,12864
Glenwood,2766
Good Hope,1810
Gordon,6576
Gracewood,363
Grantville,5533
Gray,13993
Grayson,20160
Graysville,56
Greensboro,11001
Greenville,4042
Griffin,61966
Grovetown,30415
Guyton,16443
Haddock,2660
Hagan,205
Hahira,10295
Hamilton,5103
Hampton,38569
Harlem,8150
Harrison,1364
Hartsfield,966
Hartwell,16382
Hawkinsville,12998
Hazlehurst,14468
Helen,936
Helena,4313
Hephzibah,39640
Hiawassee,6496
Hillsboro,761
Hinesville,40302
Hiram,22457
Hoboken,2811
Hogansville,9103
Homer,3268
Homerville,5844
Hortense,4796
Hoschton,15870
Howard,74
Hull,6946
Ideal,988
Irwinton,1841
Jackson,23218
Jacksonville,994
Jasper,21145
Jefferson,22500
Jeffersonville,2911
Jekyll Island,805
Jenkinsburg,1934
Jesup,24228
Jewell,73
Jonesboro,81147
Juliette,3343
Junction City,565
Kathleen,11193
Kennesaw,92645
Keysville,2109
Kings Bay,1293
Kingsland,20020
Kingston,8378
Kite,1806
Knoxville,965
La Fayette,19612
Lagrange,53190
Lake Park,9539
Lakeland,6560
Lakemont,1697
Lavonia,7232
Lawrenceville,228867
Leesburg,23304
Lenox,2848
Leslie,1296
Lexington,2988
Lilburn,59660
Lilly,187
Lincolnton,7676
Lindale,4365
Lithia Springs,21561
Lithonia,90178
Lizella,8652
Locust Grove,23249
Loganville,59451
Lookout Mountain,4125
Louisville,5728
Louvale,272
